Game,Predicted,Actual
0,3223.4,3342.0
1,3314.1,3344.0
2,3277.2,3346.0
3,3315.6,3348.0
4,3308.2,3333.0
5,3314.2,3335.0
6,3316.5,3337.0
7,3311.5,3323.0
8,3302.2,3325.0
9,3299.4,3327.0
10,3291.9,3330.0
11,3271.5,3317.0
12,3300.3,3321.0
13,3282.5,3317.0
14,3296.5,3321.0
15,3291.6,3309.0
16,3288.9,3313.0
17,3279.8,3317.0
18,3279.4,3305.0
19,3282.0,3309.0
20,3284.8,3312.0
21,3296.8,3315.0
22,3298.9,3318.0
23,3294.2,3321.0
24,3298.5,3324.0
25,3295.4,3327.0
26,3294.5,3313.0
27,3328.2,3316.0
28,3328.6,3319.0
29,3321.1,3322.0
30,3317.7,3325.0
31,3308.3,3328.0
32,3291.2,3314.0
33,3301.1,3317.0
34,3287.0,3317.0
35,3284.5,3317.0
36,3282.1,3317.0
37,3276.2,3317.0
38,3281.5,3319.0
39,3298.6,3321.0
40,3290.4,3323.0
41,3304.6,3325.0
42,3293.0,3312.0
43,3326.7,3299.0
44,3323.0,3302.0
45,3307.9,3305.0
46,3308.0,3308.0
47,3316.4,3311.0
48,3322.8,3314.0
49,3319.1,3317.0
50,3318.8,3320.0
51,3284.3,3307.0
52,3329.3,3310.0
53,3331.8,3313.0
54,3321.2,3316.0
55,3323.9,3319.0
56,3332.6,3322.0
57,3310.9,3325.0
58,3309.9,3328.0
59,3301.6,3330.0
60,3283.2,3332.0
61,3293.1,3334.0
62,3289.4,3329.0
63,3342.1,3333.0
64,3345.0,3336.0
65,3333.9,3339.0
66,3327.1,3342.0
67,3330.4,3345.0
68,3310.3,3347.0
69,3314.2,3349.0
70,3327.9,3343.0
71,3372.0,3345.0
72,3372.5,3347.0
73,3375.1,3349.0
74,3372.5,3351.0
75,3370.7,3353.0
76,3347.5,3355.0
77,3353.7,3357.0
78,3362.2,3359.0
79,3353.4,3361.0
80,3354.4,3363.0
81,3341.3,3363.0
82,3317.2,3363.0
83,3314.0,3364.0
84,3306.0,3365.0
85,3298.0,3366.0
86,3304.6,3367.0
87,3289.1,3369.0
88,3277.8,3366.0
89,3353.8,3370.0
90,3351.3,3372.0
91,3358.1,3366.0
92,3372.8,3366.0
93,3359.4,3366.0
94,3358.1,3367.0
95,3362.1,3368.0
96,3360.2,3369.0
97,3340.9,3363.0
98,3369.1,3364.0
99,3364.9,3366.0
100,3350.2,3368.0
101,3331.2,3371.0
102,3327.4,3373.0
103,3316.8,3375.0
104,3312.7,3377.0
105,3291.0,3363.0
106,3322.7,3365.0
107,3327.8,3367.0
108,3330.5,3369.0
109,3327.0,3355.0
110,3340.1,3357.0
111,3337.5,3359.0
112,3335.0,3359.0
113,3341.4,3359.0
114,3338.3,3359.0
115,3348.9,3359.0
116,3362.0,3359.0
117,3363.1,3361.0
118,3360.4,3363.0
119,3364.4,3365.0
120,3371.0,3367.0
121,3368.5,3369.0
122,3351.6,3355.0
123,3398.1,3357.0
124,3392.2,3351.0
125,3390.5,3337.0
126,3378.6,3339.0
127,3355.8,3341.0
128,3345.5,3335.0
129,3337.3,3329.0
130,3319.6,3331.0
131,3296.0,3325.0
132,3317.1,3327.0
133,3313.0,3319.0
134,3314.6,3319.0
135,3304.6,3319.0
136,3320.8,3319.0
137,3317.2,3305.0
138,3326.7,3305.0
139,3343.7,3306.0
140,3358.0,3300.0
141,3371.5,3302.0
142,3348.1,3288.0
143,3349.8,3289.0
144,3346.8,3292.0
145,3336.1,3287.0
146,3335.3,3274.0
147,3335.3,3277.0
148,3338.1,3280.0
149,3323.8,3283.0
150,3330.3,3286.0
151,3322.8,3273.0
152,3337.2,3276.0
153,3341.8,3279.0
154,3342.2,3274.0
155,3363.3,3277.0
156,3349.9,3264.0
